Delivery Start (CET);Delivery End (CET);AT Price (EUR);BE Price (EUR);FR Price (EUR);GER Price (EUR);NL Price (EUR);PL Price (EUR)
01.01.2024 00:00:00;01.01.2024 01:00:00;0.1;0.1;0.1;0.1;0.1;76.69
01.01.2024 01:00:00;01.01.2024 02:00:00;0.01;0.01;0.01;0.01;0.01;74.5
01.01.2024 02:00:00;01.01.2024 03:00:00;0.02;0;0;0;0;73.29
01.01.2024 03:00:00;01.01.2024 04:00:00;0;-0.01;-0.01;-0.01;-0.01;71.58
01.01.2024 04:00:00;01.01.2024 05:00:00;-0.01;-0.03;-0.03;-0.03;-0.03;73.27
01.01.2024 05:00:00;01.01.2024 06:00:00;-0.01;-0.02;-0.02;-0.02;-0.02;74.32
01.01.2024 06:00:00;01.01.2024 07:00:00;0;-0.05;-0.04;-0.05;-0.05;76.69
01.01.2024 07:00:00;01.01.2024 08:00:00;0;-0.02;-0.01;-0.02;-0.02;74.55
01.01.2024 08:00:00;01.01.2024 09:00:00;0;0;0;0;0;72.25
01.01.2024 09:00:00;01.01.2024 10:00:00;0.04;0.04;0.04;0.04;0.04;76.01
01.01.2024 10:00:00;01.01.2024 11:00:00;0.06;0.06;0.06;0.06;0.06;82.2
01.01.2024 11:00:00;01.01.2024 12:00:00;0.54;0.54;0.54;0.54;0.54;82.91
01.01.2024 12:00:00;01.01.2024 13:00:00;2.24;2.24;2.24;2.24;2.24;80.87
01.01.2024 13:00:00;01.01.2024 14:00:00;2.58;2;2.06;1.96;1.97;79.79
01.01.2024 14:00:00;01.01.2024 15:00:00;5.29;1.35;1.73;1.04;1.13;82.68
01.01.2024 15:00:00;01.01.2024 16:00:00;22.22;4.13;5.72;3.66;3.19;77.56
01.01.2024 16:00:00;01.01.2024 17:00:00;47.61;27.96;18.49;43.06;40;75.46
01.01.2024 17:00:00;01.01.2024 18:00:00;56.53;50.37;37;49.93;84.46;74.16
01.01.2024 18:00:00;01.01.2024 19:00:00;59.06;53.76;47.5;58;61.74;74.16
01.01.2024 19:00:00;01.01.2024 20:00:00;55.01;56.77;54.97;54.25;61.27;75.61
01.01.2024 20:00:00;01.01.2024 21:00:00;48.76;51.4;48.61;48.01;59.97;86.1
01.01.2024 21:00:00;01.01.2024 22:00:00;41.36;35.39;24.88;42.95;54.92;86.02
01.01.2024 22:00:00;01.01.2024 23:00:00;45.95;40.74;35.89;47.09;47.65;81.21
01.01.2024 23:00:00;02.01.2024 00:00:00;35.55;35.55;35.55;35.55;35.55;77.26
02.01.2024 00:00:00;02.01.2024 01:00:00;29.22;23.92;19.49;30.59;29.39;82.35
02.01.2024 01:00:00;02.01.2024 02:00:00;19.58;17.7;16.12;20.07;19.6;81.39
02.01.2024 02:00:00;02.01.2024 03:00:00;27.57;12.39;0.06;31.03;27.33;81.04
02.01.2024 03:00:00;02.01.2024 04:00:00;15.67;7.35;0.02;18.39;16.2;81.46
02.01.2024 04:00:00;02.01.2024 05:00:00;9.69;4.19;0.01;11.08;9.5;90.75
02.01.2024 05:00:00;02.01.2024 06:00:00;27.59;4.75;0.09;13.78;11.2;91.67
02.01.2024 06:00:00;02.01.2024 07:00:00;45.09;31.59;20.74;47.63;44.43;91.78
02.01.2024 07:00:00;02.01.2024 08:00:00;65.89;49.96;44.7;58.1;56.56;94.89
02.01.2024 08:00:00;02.01.2024 09:00:00;70.99;58.46;53.78;65.67;64.28;94.23
02.01.2024 09:00:00;02.01.2024 10:00:00;69.95;59.05;54.23;64.73;66.12;91.74
02.01.2024 10:00:00;02.01.2024 11:00:00;70.63;68.65;50;68.98;70.6;87.51
02.01.2024 11:00:00;02.01.2024 12:00:00;73.97;74.18;52.2;73.54;78.8;87.38
02.01.2024 12:00:00;02.01.2024 13:00:00;77.85;65.02;45;78.16;99.9;87.39
02.01.2024 13:00:00;02.01.2024 14:00:00;78.6;64.71;43;78.87;102.5;89.07
02.01.2024 14:00:00;02.01.2024 15:00:00;80.4;66.74;43;79.24;110.6;94.14
02.01.2024 15:00:00;02.01.2024 16:00:00;81;64.43;40.99;79.96;105.7;97.14
02.01.2024 16:00:00;02.01.2024 17:00:00;83.56;65.04;43.66;83.46;100.7;99.25
02.01.2024 17:00:00;02.01.2024 18:00:00;82.96;73.85;52.2;80.92;118.93;94.89
02.01.2024 18:00:00;02.01.2024 19:00:00;77.28;66.62;57.77;74.95;81.3;91.7
