Delivery Start (CET);Delivery End (CET);AT Price (EUR);BE Price (EUR);FR Price (EUR);GER Price (EUR);NL Price (EUR);PL Price (EUR)
14.06.2024 12:00:00;14.06.2024 12:15:00;67.16;62.02;;67.16;62.02;
14.06.2024 12:00:00;14.06.2024 12:30:00;;;5.92;;;
14.06.2024 12:00:00;14.06.2024 13:00:00;;;;;;50
14.06.2024 12:15:00;14.06.2024 12:30:00;51.25;49;;51.25;49;
14.06.2024 12:30:00;14.06.2024 12:45:00;48.05;31.02;;48.05;31.02;
14.06.2024 12:30:00;14.06.2024 13:00:00;;;4.08;;;
14.06.2024 12:45:00;14.06.2024 13:00:00;33.54;24.02;;33.54;24.02;
14.06.2024 13:00:00;14.06.2024 13:15:00;49.24;32;;49.24;32;
14.06.2024 13:00:00;14.06.2024 13:30:00;;;10.49;;;
14.06.2024 13:00:00;14.06.2024 14:00:00;;;;;;40.52
14.06.2024 13:15:00;14.06.2024 13:30:00;48.07;48.07;;48.07;48.07;
14.06.2024 13:30:00;14.06.2024 13:45:00;38.5;12.97;;38.5;12.97;
14.06.2024 13:30:00;14.06.2024 14:00:00;;;-6.75;;;
14.06.2024 13:45:00;14.06.2024 14:00:00;26.27;6.37;;26.27;6.37;
14.06.2024 14:00:00;14.06.2024 14:15:00;36.6;36.6;;36.6;36.6;
14.06.2024 14:00:00;14.06.2024 14:30:00;;;3.18;;;
14.06.2024 14:00:00;14.06.2024 15:00:00;;;;;;44.77
14.06.2024 14:15:00;14.06.2024 14:30:00;36.23;36.23;;36.23;36.23;
14.06.2024 14:30:00;14.06.2024 14:45:00;44.2;18;;44.2;18;
14.06.2024 14:30:00;14.06.2024 15:00:00;;;-2.03;;;
14.06.2024 14:45:00;14.06.2024 15:00:00;62.07;25.3;;43.86;25.3;
14.06.2024 15:00:00;14.06.2024 15:15:00;25.27;25.27;;25.27;25.27;
14.06.2024 15:00:00;14.06.2024 15:30:00;;;3.23;;;
14.06.2024 15:00:00;14.06.2024 16:00:00;;;;;;48.85
14.06.2024 15:15:00;14.06.2024 15:30:00;36.13;36.13;;36.13;36.13;
14.06.2024 15:30:00;14.06.2024 15:45:00;51.42;15;;48.09;15;
14.06.2024 15:30:00;14.06.2024 16:00:00;;;-3.23;;;
14.06.2024 15:45:00;14.06.2024 16:00:00;76.69;24;;50.63;24;
14.06.2024 16:00:00;14.06.2024 16:15:00;37.75;13.4;;37.75;13.4;
14.06.2024 16:00:00;14.06.2024 16:30:00;;;1.4;;;
14.06.2024 16:00:00;14.06.2024 17:00:00;;;;;;62.43
14.06.2024 16:15:00;14.06.2024 16:30:00;48.48;34;;48.48;48.48;
14.06.2024 16:30:00;14.06.2024 16:45:00;68.53;60.22;;60.22;60.22;
14.06.2024 16:30:00;14.06.2024 17:00:00;;;-1.4;;;
14.06.2024 16:45:00;14.06.2024 17:00:00;94.93;72.22;;72.22;72.22;
14.06.2024 17:00:00;14.06.2024 17:15:00;52.33;7.55;;52.33;52.33;
14.06.2024 17:00:00;14.06.2024 17:30:00;;;5.02;;;
14.06.2024 17:00:00;14.06.2024 18:00:00;;;;;;77.87
14.06.2024 17:15:00;14.06.2024 17:30:00;65.09;57.39;;65.09;65.09;
14.06.2024 17:30:00;14.06.2024 17:45:00;73.5;73.5;;73.5;73.5;
14.06.2024 17:30:00;14.06.2024 18:00:00;;;-5.02;;;
14.06.2024 17:45:00;14.06.2024 18:00:00;120.57;95.6;;95.6;95.6;
14.06.2024 18:00:00;14.06.2024 18:15:00;66;17;;66;66;
14.06.2024 18:00:00;14.06.2024 18:30:00;;;-1.72;;;
14.06.2024 18:00:00;14.06.2024 19:00:00;;;;;;97.77
14.06.2024 18:15:00;14.06.2024 18:30:00;72.24;52;;72.24;72.24;
14.06.2024 18:30:00;14.06.2024 18:45:00;94.54;87;;94.54;94.54;
14.06.2024 18:30:00;14.06.2024 19:00:00;;;3.72;;;
14.06.2024 18:45:00;14.06.2024 19:00:00;158.31;119.58;;119.58;119.58;
14.06.2024 19:00:00;14.06.2024 19:15:00;60.49;45;;104.66;104.66;
14.06.2024 19:00:00;14.06.2024 19:30:00;;;6.04;;;
14.06.2024 19:00:00;14.06.2024 20:00:00;;;;;;135.95
14.06.2024 19:15:00;14.06.2024 19:30:00;72.82;86.1;;103.12;103.12;
14.06.2024 19:30:00;14.06.2024 19:45:00;115.3;98;;115.3;115.3;
14.06.2024 19:30:00;14.06.2024 20:00:00;;;6.57;;;
14.06.2024 19:45:00;14.06.2024 20:00:00;137.22;128;;140.91;140.91;
14.06.2024 20:00:00;14.06.2024 20:15:00;125.8;116.7;;139.34;139.34;
14.06.2024 20:00:00;14.06.2024 20:30:00;;;38.05;;;
14.06.2024 20:00:00;14.06.2024 21:00:00;;;;;;137
14.06.2024 20:15:00;14.06.2024 20:30:00;90.09;111.35;;129.31;129.31;
14.06.2024 20:30:00;14.06.2024 20:45:00;87.1;115.71;;126.31;126.31;
14.06.2024 20:30:00;14.06.2024 21:00:00;;;7.38;;;
14.06.2024 20:45:00;14.06.2024 21:00:00;87.08;119.05;;119.05;119.05;
14.06.2024 21:00:00;14.06.2024 21:15:00;151.23;135.9;;169.32;169.32;
14.06.2024 21:00:00;14.06.2024 21:30:00;;;18.68;;;
14.06.2024 21:00:00;14.06.2024 22:00:00;;;;;;120.8
14.06.2024 21:15:00;14.06.2024 21:30:00;120.78;82.66;;120.78;120.78;
14.06.2024 21:30:00;14.06.2024 21:45:00;88.04;101;;101.38;101.38;
14.06.2024 21:30:00;14.06.2024 22:00:00;;;48.16;;;
14.06.2024 21:45:00;14.06.2024 22:00:00;57.59;72;;91.73;91.73;
14.06.2024 22:00:00;14.06.2024 22:15:00;123.94;123.94;;123.94;123.94;
14.06.2024 22:00:00;14.06.2024 22:30:00;;;18.91;;;
14.06.2024 22:00:00;14.06.2024 23:00:00;;;;;;100.19
14.06.2024 22:15:00;14.06.2024 22:30:00;125.96;93.56;;93.56;93.56;
14.06.2024 22:30:00;14.06.2024 22:45:00;78.59;78.59;;78.59;78.59;
14.06.2024 22:30:00;14.06.2024 23:00:00;;;51.09;;;
14.06.2024 22:45:00;14.06.2024 23:00:00;72.26;72.26;;72.26;87;
14.06.2024 23:00:00;14.06.2024 23:15:00;94.63;94.63;;94.63;106;
14.06.2024 23:00:00;14.06.2024 23:30:00;;;32.47;;;
14.06.2024 23:00:00;15.06.2024 00:00:00;;;;;;68.49
14.06.2024 23:15:00;14.06.2024 23:30:00;72.24;72.24;;72.24;86;
14.06.2024 23:30:00;14.06.2024 23:45:00;57.66;57.66;;57.66;87;
14.06.2024 23:30:00;15.06.2024 00:00:00;;;12.01;;;
14.06.2024 23:45:00;15.06.2024 00:00:00;49.43;49.43;;49.43;87;
15.06.2024 12:00:00;15.06.2024 12:15:00;-26.25;-26.25;;-26.25;9.1;
15.06.2024 12:00:00;15.06.2024 12:30:00;;;-38.78;;;
15.06.2024 12:00:00;15.06.2024 13:00:00;;;;;;-25.45
15.06.2024 12:15:00;15.06.2024 12:30:00;-51.31;-51.31;;-51.31;-7.9;
15.06.2024 12:30:00;15.06.2024 12:45:00;-76.3;-36.9;;-76.3;-36.9;
15.06.2024 12:30:00;15.06.2024 13:00:00;;;-45.35;;;
15.06.2024 12:45:00;15.06.2024 13:00:00;-100.53;-53.8;;-100.53;-53.8;
15.06.2024 13:00:00;15.06.2024 13:15:00;-44.89;-44.89;;-44.89;-44.89;
15.06.2024 13:00:00;15.06.2024 13:30:00;;;-62.95;;;
15.06.2024 13:00:00;15.06.2024 14:00:00;;;;;;-10.95
15.06.2024 13:15:00;15.06.2024 13:30:00;-81.01;-81.01;;-81.01;-81.01;
15.06.2024 13:30:00;15.06.2024 13:45:00;-105.91;-105.91;;-105.91;-64.9;
15.06.2024 13:30:00;15.06.2024 14:00:00;;;-108.17;;;
15.06.2024 13:45:00;15.06.2024 14:00:00;-110.43;-110.43;;-110.43;-69.9;
15.06.2024 14:00:00;15.06.2024 14:15:00;-117.94;-112.9;;-117.94;-112.9;
15.06.2024 14:00:00;15.06.2024 14:30:00;;;-82.5;;;
15.06.2024 14:00:00;15.06.2024 15:00:00;;;;;;0.19
15.06.2024 14:15:00;15.06.2024 14:30:00;-105.44;-52.1;;-105.44;-52.1;
15.06.2024 14:30:00;15.06.2024 14:45:00;-90.03;-90.03;;-90.03;-46.9;
15.06.2024 14:30:00;15.06.2024 15:00:00;;;-93.77;;;
15.06.2024 14:45:00;15.06.2024 15:00:00;-78.91;-97.5;;-97.5;-39.9;
15.06.2024 15:00:00;15.06.2024 15:15:00;-83.84;-83.84;;-83.84;-71.9;
15.06.2024 15:00:00;15.06.2024 15:30:00;;;-75.23;;;
15.06.2024 15:00:00;15.06.2024 16:00:00;;;;;;35.01
15.06.2024 15:15:00;15.06.2024 15:30:00;-66.61;-66.61;;-66.61;-48.9;
