Delivery Start (CET);Delivery End (CET);BE Price (EUR)
01.01.2022 00:00:00;01.01.2022 01:00:00;82.02
01.01.2022 01:00:00;01.01.2022 02:00:00;67.07
01.01.2022 02:00:00;01.01.2022 03:00:00;75.11
01.01.2022 03:00:00;01.01.2022 04:00:00;50.91
01.01.2022 04:00:00;01.01.2022 05:00:00;37.67
01.01.2022 05:00:00;01.01.2022 06:00:00;39.7
01.01.2022 06:00:00;01.01.2022 07:00:00;40.59
01.01.2022 07:00:00;01.01.2022 08:00:00;43.26
01.01.2022 08:00:00;01.01.2022 09:00:00;49.66
01.01.2022 09:00:00;01.01.2022 10:00:00;70.05
01.01.2022 10:00:00;01.01.2022 11:00:00;76.79
01.01.2022 11:00:00;01.01.2022 12:00:00;84.1
01.01.2022 12:00:00;01.01.2022 13:00:00;94.74
01.01.2022 13:00:00;01.01.2022 14:00:00;96.8
01.01.2022 14:00:00;01.01.2022 15:00:00;97.17
01.01.2022 15:00:00;01.01.2022 16:00:00;95.21
01.01.2022 16:00:00;01.01.2022 17:00:00;111.66
01.01.2022 17:00:00;01.01.2022 18:00:00;149.97
01.01.2022 18:00:00;01.01.2022 19:00:00;146.33
01.01.2022 19:00:00;01.01.2022 20:00:00;140.28
01.01.2022 20:00:00;01.01.2022 21:00:00;121.88
01.01.2022 21:00:00;01.01.2022 22:00:00;102.61
01.01.2022 22:00:00;01.01.2022 23:00:00;97.46
01.01.2022 23:00:00;02.01.2022 00:00:00;85.16
02.01.2022 00:00:00;02.01.2022 01:00:00;57.08
02.01.2022 01:00:00;02.01.2022 02:00:00;52.59
02.01.2022 02:00:00;02.01.2022 03:00:00;48.97
02.01.2022 03:00:00;02.01.2022 04:00:00;34.94
02.01.2022 04:00:00;02.01.2022 05:00:00;29.56
02.01.2022 05:00:00;02.01.2022 06:00:00;33.97
02.01.2022 06:00:00;02.01.2022 07:00:00;34.52
02.01.2022 07:00:00;02.01.2022 08:00:00;41.8
02.01.2022 08:00:00;02.01.2022 09:00:00;48.95
02.01.2022 09:00:00;02.01.2022 10:00:00;60.01
02.01.2022 10:00:00;02.01.2022 11:00:00;70.09
02.01.2022 11:00:00;02.01.2022 12:00:00;66.26
02.01.2022 12:00:00;02.01.2022 13:00:00;64.54
02.01.2022 13:00:00;02.01.2022 14:00:00;46.96
02.01.2022 14:00:00;02.01.2022 15:00:00;41.95
02.01.2022 15:00:00;02.01.2022 16:00:00;48.31
02.01.2022 16:00:00;02.01.2022 17:00:00;51.91
02.01.2022 17:00:00;02.01.2022 18:00:00;56.04
02.01.2022 18:00:00;02.01.2022 19:00:00;69.32
02.01.2022 19:00:00;02.01.2022 20:00:00;69.5
02.01.2022 20:00:00;02.01.2022 21:00:00;62.22
02.01.2022 21:00:00;02.01.2022 22:00:00;46.16
02.01.2022 22:00:00;02.01.2022 23:00:00;46.29
02.01.2022 23:00:00;03.01.2022 00:00:00;32.93
03.01.2022 00:00:00;03.01.2022 01:00:00;-0.7
03.01.2022 01:00:00;03.01.2022 02:00:00;-1.34
03.01.2022 02:00:00;03.01.2022 03:00:00;-0.99
03.01.2022 03:00:00;03.01.2022 04:00:00;-1.83
03.01.2022 04:00:00;03.01.2022 05:00:00;-1.72
03.01.2022 05:00:00;03.01.2022 06:00:00;0
03.01.2022 06:00:00;03.01.2022 07:00:00;35.22
03.01.2022 07:00:00;03.01.2022 08:00:00;88.5
03.01.2022 08:00:00;03.01.2022 09:00:00;96
03.01.2022 09:00:00;03.01.2022 10:00:00;70.5
03.01.2022 10:00:00;03.01.2022 11:00:00;90.57
03.01.2022 11:00:00;03.01.2022 12:00:00;101.33
03.01.2022 12:00:00;03.01.2022 13:00:00;97.3
03.01.2022 13:00:00;03.01.2022 14:00:00;96.2
03.01.2022 14:00:00;03.01.2022 15:00:00;100.73
03.01.2022 15:00:00;03.01.2022 16:00:00;117.23
03.01.2022 16:00:00;03.01.2022 17:00:00;128.57
03.01.2022 17:00:00;03.01.2022 18:00:00;148.49
03.01.2022 18:00:00;03.01.2022 19:00:00;162.12
03.01.2022 19:00:00;03.01.2022 20:00:00;123.91
03.01.2022 20:00:00;03.01.2022 21:00:00;120.7
03.01.2022 21:00:00;03.01.2022 22:00:00;111.01
03.01.2022 22:00:00;03.01.2022 23:00:00;119.97
03.01.2022 23:00:00;04.01.2022 00:00:00;103.93
04.01.2022 00:00:00;04.01.2022 01:00:00;129.18
04.01.2022 01:00:00;04.01.2022 02:00:00;115.55
04.01.2022 02:00:00;04.01.2022 03:00:00;116.86
04.01.2022 03:00:00;04.01.2022 04:00:00;107.07
04.01.2022 04:00:00;04.01.2022 05:00:00;106.21
04.01.2022 05:00:00;04.01.2022 06:00:00;115.57
04.01.2022 06:00:00;04.01.2022 07:00:00;156.91
04.01.2022 07:00:00;04.01.2022 08:00:00;182.64
04.01.2022 08:00:00;04.01.2022 09:00:00;178.91
04.01.2022 09:00:00;04.01.2022 10:00:00;190
04.01.2022 10:00:00;04.01.2022 11:00:00;189.88
04.01.2022 11:00:00;04.01.2022 12:00:00;182.42
04.01.2022 12:00:00;04.01.2022 13:00:00;182.46
04.01.2022 13:00:00;04.01.2022 14:00:00;179.59
04.01.2022 14:00:00;04.01.2022 15:00:00;179
04.01.2022 15:00:00;04.01.2022 16:00:00;180.93
04.01.2022 16:00:00;04.01.2022 17:00:00;166.69
04.01.2022 17:00:00;04.01.2022 18:00:00;189.88
04.01.2022 18:00:00;04.01.2022 19:00:00;184.94
04.01.2022 19:00:00;04.01.2022 20:00:00;178.99
04.01.2022 20:00:00;04.01.2022 21:00:00;156.12
04.01.2022 21:00:00;04.01.2022 22:00:00;144.9
04.01.2022 22:00:00;04.01.2022 23:00:00;137.92
04.01.2022 23:00:00;05.01.2022 00:00:00;98.1
05.01.2022 00:00:00;05.01.2022 01:00:00;114.37
05.01.2022 01:00:00;05.01.2022 02:00:00;106.72
05.01.2022 02:00:00;05.01.2022 03:00:00;84.5
05.01.2022 03:00:00;05.01.2022 04:00:00;75.38
05.01.2022 04:00:00;05.01.2022 05:00:00;79.11
05.01.2022 05:00:00;05.01.2022 06:00:00;94.79
05.01.2022 06:00:00;05.01.2022 07:00:00;90.21
05.01.2022 07:00:00;05.01.2022 08:00:00;139
05.01.2022 08:00:00;05.01.2022 09:00:00;181.61
05.01.2022 09:00:00;05.01.2022 10:00:00;168.02
05.01.2022 10:00:00;05.01.2022 11:00:00;157.55
05.01.2022 11:00:00;05.01.2022 12:00:00;161.72
05.01.2022 12:00:00;05.01.2022 13:00:00;140
05.01.2022 13:00:00;05.01.2022 14:00:00;144.03
05.01.2022 14:00:00;05.01.2022 15:00:00;170.59
05.01.2022 15:00:00;05.01.2022 16:00:00;206.51
05.01.2022 16:00:00;05.01.2022 17:00:00;217.07
05.01.2022 17:00:00;05.01.2022 18:00:00;240.55
05.01.2022 18:00:00;05.01.2022 19:00:00;240
05.01.2022 19:00:00;05.01.2022 20:00:00;220
05.01.2022 20:00:00;05.01.2022 21:00:00;200.1
05.01.2022 21:00:00;05.01.2022 22:00:00;151.97
05.01.2022 22:00:00;05.01.2022 23:00:00;182.35
05.01.2022 23:00:00;06.01.2022 00:00:00;171.8
06.01.2022 00:00:00;06.01.2022 01:00:00;191.54
06.01.2022 01:00:00;06.01.2022 02:00:00;190
06.01.2022 02:00:00;06.01.2022 03:00:00;191.34
06.01.2022 03:00:00;06.01.2022 04:00:00;176.57
06.01.2022 04:00:00;06.01.2022 05:00:00;187.3
06.01.2022 05:00:00;06.01.2022 06:00:00;193.9
06.01.2022 06:00:00;06.01.2022 07:00:00;220.09
06.01.2022 07:00:00;06.01.2022 08:00:00;228.25
06.01.2022 08:00:00;06.01.2022 09:00:00;252.43
06.01.2022 09:00:00;06.01.2022 10:00:00;300
06.01.2022 10:00:00;06.01.2022 11:00:00;273.64
06.01.2022 11:00:00;06.01.2022 12:00:00;231.9
06.01.2022 12:00:00;06.01.2022 13:00:00;226
06.01.2022 13:00:00;06.01.2022 14:00:00;209.2
06.01.2022 14:00:00;06.01.2022 15:00:00;216.06
06.01.2022 15:00:00;06.01.2022 16:00:00;230.77
06.01.2022 16:00:00;06.01.2022 17:00:00;245.95
06.01.2022 17:00:00;06.01.2022 18:00:00;274.11
06.01.2022 18:00:00;06.01.2022 19:00:00;273.44
06.01.2022 19:00:00;06.01.2022 20:00:00;230
06.01.2022 20:00:00;06.01.2022 21:00:00;215.43
06.01.2022 21:00:00;06.01.2022 22:00:00;192.62
06.01.2022 22:00:00;06.01.2022 23:00:00;163.05
06.01.2022 23:00:00;07.01.2022 00:00:00;87.94
07.01.2022 00:00:00;07.01.2022 01:00:00;83.81
07.01.2022 01:00:00;07.01.2022 02:00:00;87.77
07.01.2022 02:00:00;07.01.2022 03:00:00;72.38
07.01.2022 03:00:00;07.01.2022 04:00:00;76.79
07.01.2022 04:00:00;07.01.2022 05:00:00;77.7
07.01.2022 05:00:00;07.01.2022 06:00:00;95.23
07.01.2022 06:00:00;07.01.2022 07:00:00;141.8
07.01.2022 07:00:00;07.01.2022 08:00:00;164.21
07.01.2022 08:00:00;07.01.2022 09:00:00;214.76
07.01.2022 09:00:00;07.01.2022 10:00:00;243.88
07.01.2022 10:00:00;07.01.2022 11:00:00;203.35
07.01.2022 11:00:00;07.01.2022 12:00:00;215.69
07.01.2022 12:00:00;07.01.2022 13:00:00;181.1
07.01.2022 13:00:00;07.01.2022 14:00:00;220.94
07.01.2022 14:00:00;07.01.2022 15:00:00;218.13
07.01.2022 15:00:00;07.01.2022 16:00:00;216.39
07.01.2022 16:00:00;07.01.2022 17:00:00;232.33
07.01.2022 17:00:00;07.01.2022 18:00:00;244.33
07.01.2022 18:00:00;07.01.2022 19:00:00;265.24
07.01.2022 19:00:00;07.01.2022 20:00:00;257.69
07.01.2022 20:00:00;07.01.2022 21:00:00;250.32
07.01.2022 21:00:00;07.01.2022 22:00:00;213.81
07.01.2022 22:00:00;07.01.2022 23:00:00;235.59
